Id,Prediction
1,1
2,0
3,1
4,0
5,0
6,1
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,1
20,1
21,0
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,1
40,1
41,1
42,0
43,1
44,1
45,0
46,0
47,0
48,0
49,1
50,1
51,0
52,1
53,1
54,0
55,0
56,1
57,0
58,1
59,0
60,1
61,0
62,0
63,1
64,0
65,0
66,1
67,0
68,0
69,1
70,1
71,1
72,0
73,0
74,1
75,1
76,0
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,1
89,0
90,0
91,1
92,1
93,1
94,0
95,1
96,0
97,1
98,0
99,0
100,0
101,1
102,0
103,1
104,0
105,1
106,1
107,1
108,0
109,0
110,0
111,0
112,1
113,0
114,0
115,0
116,1
117,0
118,1
119,0
120,1
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,1
132,1
133,0
134,0
135,1
136,1
137,1
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,1
146,0
147,1
148,1
149,0
150,1
151,1
152,1
153,1
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,1
163,1
164,1
165,0
166,1
167,0
168,1
169,0
170,0
171,1
172,1
173,1
174,1
175,1
176,1
177,0
178,0
179,0
180,1
181,1
182,1
183,0
184,1
185,0
186,0
187,1
188,0
189,1
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,1
202,1
203,0
204,1
205,0
206,1
207,0
208,1
209,0
210,0
211,0
212,0
213,1
214,0
215,1
216,0
217,1
218,0
219,1
220,0
221,0
222,0
223,1
224,1
225,0
226,0
227,0
228,1
229,0
230,1
231,0
232,0
233,0
234,1
235,0
236,1
237,1
238,0
239,0
240,0
241,1
242,1
243,0
244,0
245,0
246,1
247,0
248,0
249,1
250,0
251,1
252,0
253,0
254,0
255,0
256,0
257,1
258,1
259,1
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,1
268,1
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,1
278,0
279,1
280,0
281,1
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,0
291,0
292,1
293,0
294,1
295,1
296,0
297,0
298,1
299,1
300,0
301,0
302,0
303,1
304,0
305,0
306,0
307,1
308,1
309,1
310,1
311,0
312,0
313,1
314,1
315,1
316,1
317,0
318,1
319,0
320,0
321,0
322,1
323,1
324,1
325,0
326,1
327,1
328,0
329,0
330,0
331,0
332,1
333,1
334,0
